outer_fold,tree_number,tree_num_leaves,stump_tree,leaf_index,leaf_count,leaf_value,stored_leaf_sum_hessian,stored_leaf_hessian_is_missing,stored_leaf_hessian_is_nonfinite,stored_leaf_hessian_is_negative,stored_leaf_hessian_is_zero,stored_leaf_hessian_is_positive
0,1,30,False,0,74,0.002652649038908612,21.0846354146488,False,False,False,False,True
0,1,30,False,18,68,-0.0031453283507131584,21.091145791579038,False,False,False,False,True
0,1,30,False,9,32,-0.013566251040877997,9.104166387114676,False,False,False,False,True
0,1,30,False,11,55,-0.0029314483864582184,14.08463533548638,False,False,False,False,True
0,1,30,False,8,120,0.0016235195059089449,36.1692708292976,False,False,False,False,True
0,1,30,False,19,133,0.00561470928072267,30.18880207883194,False,False,False,False,True
0,1,30,False,15,38,0.00013274537672487008,11.032552082557233,False,False,False,False,True
0,1,30,False,21,20,-0.0071983496371026785,6.039062459487467,False,False,False,False,True
0,1,30,False,2,18,1.3818439673570234e-05,12.01302083302289,False,False,False,False,True
0,1,30,False,26,21,0.003845096531404262,15.01953124953434,False,False,False,False,True
0,1,30,False,23,26,-0.0021488878331144727,13.019531209953128,False,False,False,False,True
0,1,30,False,6,370,0.008865981805393316,98.22135416138917,False,False,False,False,True
0,1,30,False,10,19,0.0004738685274583022,10.026041666045783,False,False,False,False,True
0,1,30,False,7,40,-0.003978693428269114,8.052083332091568,False,False,False,False,True
0,1,30,False,16,232,0.003832800478905257,53.19531249534339,False,False,False,False,True
0,1,30,False,1,9,-0.016985044259150064,3.0455727968364954,False,False,False,False,True
0,1,30,False,27,59,-0.01270469363026455,3.305989496875556,False,False,False,False,True
0,1,30,False,24,15,-0.021602255327978603,6.071614344138652,False,False,False,False,True
0,1,30,False,17,138,-0.011494012994568105,5.65755194891244,False,False,False,False,True
0,1,30,False,29,1,-0.014351108970272895,1.0065103769302366,False,False,False,False,True
0,1,30,False,25,55,-0.00671620805677653,2.195312495343387,False,False,False,False,True
0,1,30,False,28,1,-0.0009942803635354062,1.0000000000000002,False,False,False,False,True
0,1,30,False,3,97,-0.004463820199913095,10.201822911854835,False,False,False,False,True
0,1,30,False,14,105,-0.013275871555651648,15.279947514180092,False,False,False,False,True
0,1,30,False,5,127,-0.00640733843121271,33.33203104417771,False,False,False,False,True
0,1,30,False,13,489,-0.002143588522568703,137.00260378653184,False,False,False,False,True
0,1,30,False,4,31,-0.011985974018554823,12.143228767439725,False,False,False,False,True
0,1,30,False,20,38,-0.019265725598885827,6.1627601752988985,False,False,False,False,True
0,1,30,False,12,53,-0.009406227991757249,13.162760333623739,False,False,False,False,True
0,1,30,False,22,40,-0.0032868941040006473,9.091145831160246,False,False,False,False,True
0,2,29,False,0,74,0.002623343752711757,21.0846354146488,False,False,False,False,True
0,2,29,False,18,68,-0.0031105801616995725,21.091145791579038,False,False,False,False,True
0,2,29,False,9,57,-0.003391611140197482,16.084635295905176,False,False,False,False,True
0,2,29,False,10,30,-0.015262079649077434,7.104166426695882,False,False,False,False,True
0,2,29,False,7,7,0.012473235871360698,3.0000000000000027,False,False,False,False,True
0,2,29,False,24,83,0.005777047668358911,14.13671874674037,False,False,False,False,True
0,2,29,False,15,18,-0.011191484325493755,2.084635375067591,False,False,False,False,True
0,2,29,False,19,203,0.0013767812357845198,64.20833332836628,False,False,False,False,True
0,2,29,False,2,14,-3.874008739500852e-05,10.01302083302289,False,False,False,False,True
0,2,29,False,26,25,0.003388201816019964,17.019531249534342,False,False,False,False,True
0,2,29,False,21,26,-0.0021251477996894214,13.019531209953128,False,False,False,False,True
0,2,29,False,5,374,0.008555036376255473,101.24088541092351,False,False,False,False,True
0,2,29,False,16,15,-3.035868864007959e-05,7.006510416511445,False,False,False,False,True
0,2,29,False,6,40,-0.003934738497994494,8.052083332091568,False,False,False,False,True
0,2,29,False,17,232,0.0037904574095086736,53.19531249534339,False,False,False,False,True
0,2,29,False,1,13,-0.0045195935769179645,4.019531249534337,False,False,False,False,True
