model_a,model_a_display_name,model_b,model_b_display_name,subset,subset_label,metric,n_paired,model_a_value,model_b_value,difference_a_minus_b,ci_lower,ci_upper,bootstrap_ci_excludes_zero,n_bootstrap_valid,better_direction,effect_in_favor_of_a,observed_better_model,permutation_p_two_sided,permutation_p_two_sided_holm_pair_dataset,significant_permutation_holm_0.05,holm_family_size,n_extreme_permutations,n_valid_permutations,n_permutations_requested
dummy_mean_regression,Dummy regression mean,custom_mtl_original,Custom MTL LightGBM clean,all_threshold,All labelled compounds: threshold-derived,roc_auc,3156,0.5,0.7685777201519867,-0.26857772015198667,-0.28651587665081024,-0.24997035264968873,True,10000,higher,-0.26857772015198667,custom_mtl_original,9.999000099990002e-05,0.0008999100089991002,True,9,0,10000,10000
dummy_mean_regression,Dummy regression mean,dummy_prior_classification,Dummy classification baseline,all_threshold,All labelled compounds: threshold-derived,balanced_accuracy,3156,0.5,0.5,0.0,0.0,0.0,False,10000,higher,0.0,tie,1.0,1.0,False,9,10000,10000,10000
dummy_mean_regression,Dummy regression mean,dummy_prior_classification,Dummy classification baseline,all_threshold,All labelled compounds: threshold-derived,cohens_kappa,3156,0.0,0.0,0.0,0.0,0.0,False,10000,higher,0.0,tie,1.0,1.0,False,9,10000,10000,10000
dummy_mean_regression,Dummy regression mean,dummy_prior_classification,Dummy classification baseline,all_threshold,All labelled compounds: threshold-derived,mcc,3156,,,,,,False,0,higher,,tie,,,False,9,0,0,10000
dummy_mean_regression,Dummy regression mean,dummy_prior_classification,Dummy classification baseline,all_threshold,All labelled compounds: threshold-derived,np_f1,3156,,,,,,False,0,higher,,tie,,,False,9,0,0,10000
dummy_mean_regression,Dummy regression mean,dummy_prior_classification,Dummy classification baseline,all_threshold,All labelled compounds: threshold-derived,np_precision,3156,,,,,,False,0,higher,,tie,,,False,9,0,0,10000
dummy_mean_regression,Dummy regression mean,dummy_prior_classification,Dummy classification baseline,all_threshold,All labelled compounds: threshold-derived,np_recall,3156,0.0,0.0,0.0,0.0,0.0,False,10000,higher,0.0,tie,1.0,1.0,False,9,10000,10000,10000
dummy_mean_regression,Dummy regression mean,dummy_prior_classification,Dummy classification baseline,all_threshold,All labelled compounds: threshold-derived,np_wrong_side_count,3156,961.0,961.0,0.0,0.0,0.0,False,10000,lower,0.0,tie,1.0,1.0,False,9,10000,10000,10000
dummy_mean_regression,Dummy regression mean,dummy_prior_classification,Dummy classification baseline,all_threshold,All labelled compounds: threshold-derived,pr_auc_nonpenetrant,3156,0.3044517861165018,0.30432319464580004,0.00012859147070176657,0.00012859702110290527,0.00012859702110290527,True,10000,higher,0.00012859147070176657,dummy_mean_regression,0.9885011498850115,1.0,False,9,9885,10000,10000
dummy_mean_regression,Dummy regression mean,dummy_prior_classification,Dummy classification baseline,all_threshold,All labelled compounds: threshold-derived,roc_auc,3156,0.5,0.4995837669094693,0.00041623309053068214,0.00041621923446655273,0.00041621923446655273,True,10000,higher,0.00041623309053068214,dummy_mean_regression,0.9849015098490151,1.0,False,9,9849,10000,10000
