model_a,model_a_display_name,model_b,model_b_display_name,subset,subset_label,metric,n_paired,model_a_value,model_b_value,difference_a_minus_b,ci_lower,ci_upper,,Text,,bootstrap_ci_excludes_zero,n_bootstrap_valid,better_direction,effect_in_favor_of_a,observed_better_model,permutation_p_two_sided,permutation_p_two_sided_holm_pair_dataset,significant_permutation_holm_0.05,holm_family_size,n_extreme_permutations,n_valid_permutations,n_permutations_requested,,,,,,,,,,,,,,,,
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),classification_only_threshold,Classification-only compounds: threshold-derived,mcc,2391,0.318846873,0.284344303,0.03450257,-0.001265777,0.070776527,,"0.319 (-0.001,0.071) [p=0.067]",,FALSE,10000,higher,0.03450257,custom_mtl_original,0.067093291,0.134186581,FALSE,9,670,10000,10000,,,,,,,,,,,,,,,,
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),classification_only_threshold,Classification-only compounds: threshold-derived,np_f1,2391,0.376963351,0.313364055,0.063599295,0.031123488,0.09731963,,"0.377 (0.031,0.097) [p=0.001]",,TRUE,10000,higher,0.063599295,custom_mtl_original,0.00059994,0.00419958,TRUE,9,5,10000,10000,,,,balanced_accuracy,"0.605 (0.008,0.035) [p=0.002]",,,balanced_accuracy,np_recall,np_precision,np_f1,roc_auc,pr_auc_nonpenetrant,cohens_kappa,mcc,np_wrong_side_count
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),classification_only_threshold,Classification-only compounds: threshold-derived,np_precision,2391,0.794117647,0.805687204,-0.011569557,-0.061125337,0.036912981,,"0.794 (-0.061,0.037) [p=0.661]",,FALSE,10000,higher,-0.011569557,logbb_pred_shaker_retrained,0.661433857,0.661433857,FALSE,9,6614,10000,10000,,,,cohens_kappa,"0.246 (0.016,0.078) [p=0.004]",,,"0.605 (0.008,0.035) [p=0.002]","0.247 (0.027,0.079) [p=0]","0.794 (-0.061,0.037) [p=0.661]","0.377 (0.031,0.097) [p=0.001]","0.743 (0.002,0.02) [p=0.023]","0.651 (0.004,0.039) [p=0.021]","0.246 (0.016,0.078) [p=0.004]","0.319 (-0.001,0.071) [p=0.067]","658 (-69,-24) [p=0]"
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),classification_only_threshold,Classification-only compounds: threshold-derived,np_recall,2391,0.247139588,0.194508009,0.052631579,0.027459949,0.078947365,,"0.247 (0.027,0.079) [p=0]",,TRUE,10000,higher,0.052631579,custom_mtl_original,0.00039996,0.00359964,TRUE,9,3,10000,10000,,,,mcc,"0.319 (-0.001,0.071) [p=0.067]",,,,,,,,,,,
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),classification_only_threshold,Classification-only compounds: threshold-derived,np_wrong_side_count,2391,658,704,-46,-69,-24,,"658 (-69,-24) [p=0]",,TRUE,10000,lower,46,custom_mtl_original,0.00039996,0.00359964,TRUE,9,3,10000,10000,,,,np_f1,"0.377 (0.031,0.097) [p=0.001]",,,,,,,,,,,
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),classification_only_threshold,Classification-only compounds: threshold-derived,pr_auc_nonpenetrant,2391,0.651122401,0.629641629,0.021480772,0.003606804,0.038607168,,"0.651 (0.004,0.039) [p=0.021]",,TRUE,10000,higher,0.021480772,custom_mtl_original,0.02149785,0.085991401,FALSE,9,214,10000,10000,,,,np_precision,"0.794 (-0.061,0.037) [p=0.661]",,,,,,,,,,,
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),classification_only_threshold,Classification-only compounds: threshold-derived,roc_auc,2391,0.74294306,0.732060296,0.010882764,0.001822101,0.019699825,,"0.743 (0.002,0.02) [p=0.023]",,TRUE,10000,higher,0.010882764,custom_mtl_original,0.02329767,0.085991401,FALSE,9,232,10000,10000,,,,np_recall,"0.247 (0.027,0.079) [p=0]",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,np_wrong_side_count,"658 (-69,-24) [p=0]",,,,,,,,,,,
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),measured_regression,Measured compounds: regression,mae,765,0.363159386,0.365015456,-0.00185607,-0.014500495,0.010726063,,"0.363 (-0.015,0.011) [p=0.777]",,FALSE,10000,lower,0.00185607,custom_mtl_original,0.776822318,0.776822318,FALSE,5,7768,10000,10000,,,,pr_auc_nonpenetrant,"0.651 (0.004,0.039) [p=0.021]",,,,,,,,,,,
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),measured_regression,Measured compounds: regression,mse,765,0.235374454,0.249048902,-0.013674448,-0.029664709,0.002322667,,"0.235 (-0.03,0.002) [p=0.11]",,FALSE,10000,lower,0.013674448,custom_mtl_original,0.109789021,0.431956804,FALSE,5,1097,10000,10000,,,,roc_auc,"0.743 (0.002,0.02) [p=0.023]",,,,,,,,,,,
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),measured_regression,Measured compounds: regression,np_mae,765,0.639378142,0.682040199,-0.042662056,-0.089169182,0.003037697,,"0.639 (-0.089,0.003) [p=0.086]",,FALSE,10000,lower,0.042662056,custom_mtl_original,0.086391361,0.431956804,FALSE,5,863,10000,10000,,,,,,,,,,,,,,,,
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),measured_regression,Measured compounds: regression,pearson_r,765,0.754334904,0.73736183,0.016973074,-0.002082931,0.036094877,,"0.754 (-0.002,0.036) [p=0.102]",,FALSE,10000,higher,0.016973074,custom_mtl_original,0.102489751,0.431956804,FALSE,5,1024,10000,10000,,,,,,,,,,,,,,,,
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),measured_regression,Measured compounds: regression,r2,765,0.567737797,0.542624846,0.025112951,-0.004307024,0.054284219,,"0.568 (-0.004,0.054) [p=0.11]",,FALSE,10000,higher,0.025112951,custom_mtl_original,0.109789021,0.431956804,FALSE,5,1097,10000,10000,,,,,,,,,,,,,,,,
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),measured_threshold,Measured compounds: threshold-derived,balanced_accuracy,765,0.664301699,0.645585393,0.018716306,-0.026523232,0.063385624,,"0.664 (-0.027,0.063) [p=0.452]",,FALSE,10000,higher,0.018716306,custom_mtl_original,0.452054795,1,FALSE,9,4520,10000,10000,,,,mae,"0.363 (-0.015,0.011) [p=0.777]",,,mae,mse,pearson_r,r2,np_mae,,,,
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),measured_threshold,Measured compounds: threshold-derived,cohens_kappa,765,0.427004164,0.38084151,0.046162654,-0.054329157,0.147330617,,"0.427 (-0.054,0.147) [p=0.424]",,FALSE,10000,higher,0.046162654,custom_mtl_original,0.423857614,1,FALSE,9,4238,10000,10000,,,,mse,"0.235 (-0.03,0.002) [p=0.11]",,,"0.363 (-0.015,0.011) [p=0.777]","0.235 (-0.03,0.002) [p=0.11]","0.754 (-0.002,0.036) [p=0.102]","0.568 (-0.004,0.054) [p=0.11]","0.639 (-0.089,0.003) [p=0.086]",,,,
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),measured_threshold,Measured compounds: threshold-derived,mcc,765,0.463217876,0.415263035,0.047954841,-0.051959522,0.147861283,,"0.463 (-0.052,0.148) [p=0.4]",,FALSE,10000,higher,0.047954841,custom_mtl_original,0.400359964,1,FALSE,9,4003,10000,10000,,,,np_mae,"0.639 (-0.089,0.003) [p=0.086]",,,,,,,,,,,
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),measured_threshold,Measured compounds: threshold-derived,np_f1,765,0.46875,0.42519685,0.04355315,-0.054202432,0.141998316,,"0.469 (-0.054,0.142) [p=0.439]",,FALSE,10000,higher,0.04355315,custom_mtl_original,0.438856114,1,FALSE,9,4388,10000,10000,,,,pearson_r,"0.754 (-0.002,0.036) [p=0.102]",,,,,,,,,,,
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),measured_threshold,Measured compounds: threshold-derived,np_precision,765,0.731707317,0.675,0.056707317,-0.074243237,0.18919161,,"0.732 (-0.074,0.189) [p=0.44]",,FALSE,10000,higher,0.056707317,custom_mtl_original,0.440155984,1,FALSE,9,4401,10000,10000,,,,r2,"0.568 (-0.004,0.054) [p=0.11]",,,,,,,,,,,
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),measured_threshold,Measured compounds: threshold-derived,np_recall,765,0.344827586,0.310344828,0.034482759,-0.057471275,0.12643677,,"0.345 (-0.057,0.126) [p=0.63]",,FALSE,10000,higher,0.034482759,custom_mtl_original,0.629637036,1,FALSE,9,6296,10000,10000,,,,,,,,,,,,,,,,
custom_mtl_original,Custom MTL LightGBM clean,logbb_pred_shaker_retrained,Matched-retrained logBB_pred strategy (Shaker et al.),measured_threshold,Measured compounds: threshold-derived,np_wrong_side_count,765,57,60,-3,-11,5,,"57 (-11,5) [p=0.63]",,FALSE,10000,lower,3,custom_mtl_original,0.629637036,1,FALSE,9,6296,10000,10000,,,,,,,,,,,,,,,,
