,balanced_acc_bins,recall_bins,prec_bins,f1_bins,rocauc_bins,prauc_bins,kappa_bins,mcc_bins,support_c_bins,mae_bins,mde_bins,mse_bins,pearson_bins,r2_bins,support_r_bins,balanced_acc_bins_neg,prec_bins_neg,recall_bins_neg,rocauc_bins_neg,prauc_bins_neg,kappa_bins_neg,mcc_bins_neg,f1_bins_neg,support_c_bins_neg
0,1.0,1.0,1.0,1.0,,1.0,,0.0,2,,,,,,0,1.0,0.0,0.0,,0.0,,0.0,0.0,2
1,0.5,1.0,0.7522123893805309,0.8585858585858586,0.5,0.7522123893805309,0.0,0.0,113,0.39989136989545265,0.2721965083997575,0.3221128255268401,0.35421727232450223,0.06915286305684842,15,0.5,0.0,0.0,0.5,0.24778761061946902,0.0,0.0,0.0,113
2,0.547426687474635,0.25164113785557984,0.583756345177665,0.3516819571865443,0.5474266874746351,0.49587670276765694,0.09838519990799854,0.11807222255973479,980,0.4680222416120454,0.39058574406860924,0.37130609918189494,0.3790584925007744,0.13077409168347331,162,0.547426687474635,0.5632183908045977,0.8432122370936902,0.5474266874746351,0.5585861086704083,0.09838519990799854,0.11807222255973479,0.6753445635528331,980
3,0.5,0.0,0.0,0.0,0.5,0.2549618320610687,0.0,0.0,1310,0.34039688990708883,0.24284666849539593,0.2178692492303986,0.3774930010800589,0.1407648733347997,360,0.5,0.7450381679389313,1.0,0.5,0.7450381679389313,0.0,0.0,0.8538932633420823,1310
4,0.5,0.0,0.0,0.0,0.5,0.16966966966966968,0.0,0.0,666,0.283950543491126,0.179378727559785,0.16248182314593537,0.453430103454859,0.18708803093562731,210,0.5,0.8303303303303303,1.0,0.5,0.8303303303303303,0.0,0.0,0.9073010664479081,666
5,0.5,0.0,0.0,0.0,0.5,0.06521739130434782,0.0,0.0,46,0.25503697302263684,0.28535467727065134,0.0810625827755826,0.19589092673798825,-0.10861002002652831,14,0.5,0.9347826086956522,1.0,0.5,0.9347826086956522,0.0,0.0,0.9662921348314607,46
