,MSE,MDE,MAE,pearson,r2,balanced_acc,prec,recall,rocauc,prauc,kappa,MCC,f1
outerfold_1,0.05856066251246,0.0954983205756322,0.1524397336331909,0.9484957426053716,0.8928378830986683,0.5897262993884171,0.7773584905660378,0.20724346076458752,0.5897262993884171,0.41390965023681836,0.22292503008845077,0.2998611786743235,0.3272438443208896
outerfold_2,0.05560961215900369,0.020921008153534926,0.09268063599530772,0.9480749102230416,0.8982381089395476,0.6085910185559897,0.6911392405063291,0.2746478873239437,0.6085910185559897,0.42113209137910435,0.2586220566082613,0.30426323845897024,0.3930885529157667
outerfold_3,0.041225427933548685,0.031198798451992416,0.09278602577670629,0.9621099475132995,0.9245602092260757,0.6044185508718822,0.7228571428571429,0.2545271629778672,0.6044185508718822,0.42171536298777124,0.25230145117374014,0.30827424653219876,0.37648809523809523
outerfold_4,0.050591455510477695,0.049703533204556005,0.10524487157034824,0.9530571584633987,0.9074210017950395,0.6176889409940567,0.7233502538071066,0.28672032193158953,0.6176889409940567,0.43486152113782284,0.28037912305637624,0.33011245341512624,0.4106628242074928
outerfold_5,0.05416300010089764,0.07152628685198953,0.12875330890484402,0.9503884334266072,0.9008853127762299,0.598737028861819,0.7615894039735099,0.23138832997987926,0.5987370288618191,0.42133037545215113,0.24233264403696608,0.31112547195625284,0.3549382716049383
mean,0.05203003164327754,0.053769589447541025,0.11438091517607944,0.9524252384463437,0.9047885031671121,0.6038323677344329,0.7352589063420253,0.2509054325955734,0.6038323677344329,0.42258980023873355,0.25131206099275893,0.31072731780737434,0.3724843176574365
std,0.005980318608125076,0.027061374750143263,0.023133300764510086,0.005151849775034789,0.010943585237867677,0.009380156003187715,0.030684962941291694,0.028798654358574337,0.009380156003187702,0.006788458503950116,0.018898478659760916,0.010409772998673648,0.02916411242496467
