cluster_key,cluster_id,cluster_label,algorithmic_medoid,selected_representative,cluster_size_defined,members_defined_json,importance_scale,n_paired_outer_folds,mse_mean_importance,mtl_mean_importance,mtl_minus_mse,fold_sd_difference,minimum_fold_difference,maximum_fold_difference,fraction_folds_mtl_greater,mean_difference,difference_sd,mean_test_train_ratio,nadeau_bengio_correction_factor,nadeau_bengio_standard_error,nadeau_bengio_t_statistic,nadeau_bengio_degrees_of_freedom,p_value_two_sided_nadeau_bengio,p_value_adjusted,significant_adjusted_0_05,absolute_mtl_minus_mse,difference_rank_by_absolute_value
cluster_2379,2379,Cluster 2379: nAcid (n=1),nAcid,nAcid,1,"[""nAcid""]",normalized,5,0.011995728461213986,0.02307557304408728,0.011079844582873291,0.009210940573494641,0.0002028659586923512,0.023943374642270913,1.0,0.011079844582873291,0.009210940573494641,0.2500000313819021,0.4500000313819021,0.006178886993163715,1.7931780586264108,4.0,0.1474041578060628,1.0,False,0.011079844582873291,1
cluster_33,33,Cluster 33: ATSC2c (n=1),ATSC2c,ATSC2c,1,"[""ATSC2c""]",normalized,5,0.016713698478157107,0.007101905674360929,-0.00961179280379618,0.006290567502149121,-0.015627980524365332,-0.001689207378377803,0.0,-0.00961179280379618,0.006290567502149121,0.2500000313819021,0.4500000313819021,0.004219841112697652,-2.2777617799101377,4.0,0.08499618768524402,1.0,False,0.00961179280379618,2
cluster_2149,2149,Cluster 2149: WNSA4 (n=4),WNSA4,WNSA4,4,"[""WNSA4"", ""FNSA2"", ""PNSA4"", ""PNSA1""]",normalized,5,0.019320939012000646,0.02521530063469495,0.005894361622694308,0.004323624294663589,0.00024071314064645286,0.011216417057682405,1.0,0.005894361622694308,0.004323624294663589,0.2500000313819021,0.4500000313819021,0.0029003754507437585,2.032275380479719,4.0,0.11192254070107502,1.0,False,0.005894361622694308,3
cluster_2319,2319,Cluster 2319: SLogP (n=1),SLogP,SLogP,1,"[""SLogP""]",normalized,5,0.01120092998277614,0.017020577570452076,0.005819647587675938,0.0021806007015186635,0.0034970379487329756,0.00820488464718341,1.0,0.005819647587675938,0.0021806007015186635,0.2500000313819021,0.4500000313819021,0.0014627914711195895,3.9784533220047447,4.0,0.016422309167799236,1.0,False,0.005819647587675938,4
cluster_1299,1299,Cluster 1299: ECFP_235 (n=1),ECFP_235,ECFP_235,1,"[""ECFP_235""]",normalized,5,8.983983791196395e-05,0.005546659663230091,0.005456819825318127,0.002844887870459761,0.003047064961101227,0.01025311384552758,1.0,0.005456819825318127,0.002844887870459761,0.2500000313819021,0.4500000313819021,0.0019084088665576782,2.8593557287128673,4.0,0.045959363287697196,1.0,False,0.005456819825318127,5
cluster_2280,2280,Cluster 2280: MIC3 (n=5),MIC3,MIC3,5,"[""MIC3"", ""MIC2"", ""MIC4"", ""MIC5"", ""MIC1""]",normalized,5,0.00897794560250584,0.0035218172214812743,-0.005456128381024565,0.003495277641289367,-0.010579735685242318,-0.0012551248137347793,0.0,-0.005456128381024565,0.003495277641289367,0.2500000313819021,0.4500000313819021,0.0023447036036043953,-2.3270013201827013,4.0,0.0805162063716265,1.0,False,0.005456128381024565,6
cluster_2308,2308,Cluster 2308: PEOE_VSA6 (n=1),PEOE_VSA6,PEOE_VSA6,1,"[""PEOE_VSA6""]",normalized,5,0.01598932450422488,0.02094511049842055,0.004955785994195669,0.005398766126971813,-0.0020749397115090093,0.011935716938635764,0.8,0.004955785994195669,0.005398766126971813,0.2500000313819021,0.4500000313819021,0.0036216025426405265,1.3683958788537804,4.0,0.24301114997022227,1.0,False,0.004955785994195669,7
cluster_169,169,Cluster 169: ECFP_1060 (n=1),ECFP_1060,ECFP_1060,1,"[""ECFP_1060""]",normalized,5,0.0019420797799421827,0.006878545101894224,0.004936465321952041,0.003249907610465493,0.0009489980488982647,0.009296651020149725,1.0,0.004936465321952041,0.003249907610465493,0.2500000313819021,0.4500000313819021,0.002180104377296001,2.2643252191781635,4.0,0.08626689597018772,1.0,False,0.004936465321952041,8
cluster_2350,2350,Cluster 2350: Xch-6dv (n=4),Xch-6dv,Xch-6dv,4,"[""Xch-6dv"", ""Xch-7d"", ""Xch-7dv"", ""Xch-6d""]",normalized,5,0.004930832804176588,0.009834520307337113,0.004903687503160526,0.00784440056220383,-0.003519017596694971,0.013731720287295524,0.6,0.004903687503160526,0.00784440056220383,0.2500000313819021,0.4500000313819021,0.005262184053433528,0.9318730499289385,4.0,0.4041542561232657,1.0,False,0.004903687503160526,9
cluster_2316,2316,Cluster 2316: RNCS (n=1),RNCS,RNCS,1,"[""RNCS""]",normalized,5,0.010535138313702707,0.014634602372777625,0.004099464059074919,0.006161373975028256,-0.005732502772005289,0.009551988874972363,0.8,0.004099464059074919,0.006161373975028256,0.2500000313819021,0.4500000313819021,0.004133175457007161,0.9918437050923912,4.0,0.3774169638851757,1.0,False,0.004099464059074919,10
