,MSE,MDE,MAE,pearson,r2,balanced_acc,prec,recall,rocauc,prauc,kappa,MCC,f1
outerfold_1,0.05853650282467404,0.06872543851237156,0.13143793409864482,0.9460590898191343,0.8928820937201971,0.5774823221002889,0.7419354838709677,0.1851106639839034,0.5774823221002889,0.39720542510550905,0.19359853653771586,0.2668761096931474,0.2962962962962963
outerfold_2,0.06529675314726599,0.057308265813049,0.12784408076551168,0.9387412168590856,0.8805112853264614,0.5755138461480138,0.7733333333333333,0.1750503018108652,0.5755138461480138,0.39844570147868275,0.1901415824191166,0.27197837355005644,0.28547990155865466
outerfold_3,0.062244481247241745,0.10943197935385995,0.16435101014053252,0.9424662402464967,0.8860967398642317,0.5731267018029041,0.7456896551724138,0.17404426559356137,0.5731267018029041,0.3931772977760137,0.1836977631861666,0.25969122191606875,0.2822185970636215
outerfold_4,0.057295719157832034,0.08254154309750411,0.14117659504745586,0.9468922699942712,0.8951526452927155,0.5743246573174327,0.7182539682539683,0.18209255533199195,0.5743246573174325,0.39161641941724745,0.1854608274905507,0.25413736163656725,0.29052969502407705
outerfold_5,0.06261160729686999,0.0736377297596632,0.13683406627325956,0.9414233156088182,0.885424923614895,0.5761884069371481,0.7899543378995434,0.17404426559356137,0.5761884069371481,0.40088131197298893,0.1922285400692083,0.2778534731053273,0.2852431986809563
mean,0.061197012734776755,0.07832899130728957,0.14032873726508088,0.9431164265055614,0.8880135375637002,0.5753271868611576,0.7538333557060453,0.17806841046277666,0.5753271868611576,0.3962652311500883,0.18902544994055162,0.2661073079802334,0.28795353772472115
std,0.0029053242182163303,0.017557041433610452,0.012844564695772416,0.00301158056704589,0.005316550055124885,0.0015012228072636337,0.02513462355452398,0.004632138604918039,0.0015012228072636485,0.003408618510228566,0.003834304069086564,0.008455514626537266,0.0049516172108751925
