,MSE,MDE,MAE,pearsonr,r2_score
logbb_pred,0.03420681263600526,0.03427000000000002,0.083086938239159,0.9693301151186107,0.9374038083373528
qsar_pred,0.33254121437338907,0.19335299999999997,0.36324992424441527,0.6857603854344779,0.39147169857223385
