,balanced_acc,prec,recall,rocauc,prauc,cohen_kappa_score,MCC,f1
logbb_pred,0.574405875380035,0.875,0.3891659631415043,0.574405875380035,0.1584051724137931,0.19475110358636583,0.30132978930171744,0.26824817518248173
qsar_pred,0.6107255517398906,0.6191536748329621,0.3940130725133263,0.6107255517398906,0.2995689655172414,0.2601240616231516,0.28837568189330465,0.4037763253449528
logbb_pred_unlabelled,0.5350164624072395,0.7777777777777778,0.08323424494649227,0.5350164624072394,0.3919873216212767,0.08739231441253326,0.17504728176739284,0.15037593984962405
qsar_pred_unlabelled,0.5937768568771264,0.6163682864450127,0.28656361474435194,0.5937768568771266,0.4312976545679574,0.21289305234461664,0.24152401872241192,0.3912337662337662
