,MSE,MDE,MAE,pearson,r2,balanced_acc,prec,recall,rocauc,prauc,kappa,MCC,f1
radchenko_pred,0.332541214373389,0.1933529999999999,0.3632499242444152,0.6857603854344779,0.3914716985722338,0.6107255517398906,0.6191536748329621,0.3940130725133263,0.6107255517398906,0.2995689655172414,0.2601240616231516,0.2883756818933046,0.4037763253449528
shaker_logbb_pred,0.0342068126360052,0.03427,0.083086938239159,0.9693301151186108,0.9374038083373528,0.574405875380035,0.875,0.3891659631415043,0.574405875380035,0.1584051724137931,0.1947511035863658,0.3013297893017174,0.2682481751824817
baseline_test_data,0.331 ± 0.055,0.291 ± 0.032,0.421 ± 0.030,0.658 ± 0.039,0.393 ± 0.041,0.505 ± 0.004,0.867 ± 0.267,0.011 ± 0.006,0.505 ± 0.004,0.326 ± 0.004,0.014 ± 0.010,0.073 ± 0.040,0.022 ± 0.012
baseline_all_data,0.066 ± 0.011,0.005 ± 0.006,0.088 ± 0.007,0.938 ± 0.011,0.879 ± 0.019,0.535 ± 0.002,0.955 ± 0.023,0.072 ± 0.004,0.535 ± 0.002,0.365 ± 0.003,0.093 ± 0.004,0.214 ± 0.007,0.134 ± 0.006
our_model_test_data,0.235 ± 0.030,0.251 ± 0.020,0.352 ± 0.022,0.758 ± 0.026,0.568 ± 0.038,0.579 ± 0.022,0.672 ± 0.106,0.209 ± 0.034,0.579 ± 0.022,0.394 ± 0.027,0.194 ± 0.054,0.248 ± 0.069,0.317 ± 0.046
our_model_all_data,0.050 ± 0.006,0.047 ± 0.018,0.108 ± 0.015,0.954 ± 0.005,0.908 ± 0.010,0.608 ± 0.009,0.734 ± 0.028,0.260 ± 0.027,0.608 ± 0.009,0.426 ± 0.008,0.259 ± 0.019,0.317 ± 0.013,0.383 ± 0.027
