cluster_key,cluster_id,cluster_label,algorithmic_medoid,selected_representative,cluster_size_defined,members_defined_json,importance_scale,n_paired_outer_folds,mse_mean_importance,mtl_mean_importance,mtl_minus_mse,fold_sd_difference,minimum_fold_difference,maximum_fold_difference,fraction_folds_mtl_greater,mean_difference,difference_sd,mean_test_train_ratio,nadeau_bengio_correction_factor,nadeau_bengio_standard_error,nadeau_bengio_t_statistic,nadeau_bengio_degrees_of_freedom,p_value_two_sided_nadeau_bengio,p_value_adjusted,significant_adjusted_0_05,absolute_mtl_minus_mse,difference_rank_by_absolute_value
cluster_2272,2272,Cluster 2272: MACCS_89 (n=1),MACCS_89,MACCS_89,1,"[""MACCS_89""]",normalized,5,0.0001398900091923676,2.9516105856438713e-06,-0.00013693839860672371,0.0002824556722359272,-0.0006395978128850658,1.4758052928219357e-05,0.2,-0.00013693839860672371,0.0002824556722359272,0.2500000313819021,0.4500000313819021,0.00018947703173181261,-0.7227176684958179,4.0,0.5098502609827819,1.0,False,0.00013693839860672371,284
cluster_1825,1825,Cluster 1825: ECFP_713 (n=1),ECFP_713,ECFP_713,1,"[""ECFP_713""]",normalized,5,0.0,0.0001364582578243345,0.0001364582578243345,0.00030512994058640457,0.0,0.0006822912891216725,0.2,0.0001364582578243345,0.00030512994058640457,0.2500000313819021,0.4500000313819021,0.00020468739387370112,0.6666666434208144,4.0,0.5414697526727534,1.0,False,0.0001364582578243345,285
cluster_2330,2330,Cluster 2330: SlogP_VSA2 (n=1),SlogP_VSA2,SlogP_VSA2,1,"[""SlogP_VSA2""]",normalized,5,0.0005987364989938946,0.000463211361103545,-0.00013552513789034964,0.0005316961664036663,-0.0006578515723404776,0.0007542177689534655,0.2,-0.00013552513789034964,0.0005316961664036663,0.2500000313819021,0.4500000313819021,0.0003566726438731307,-0.37997065437560235,4.0,0.7232810067693844,1.0,False,0.00013552513789034964,286
cluster_1965,1965,Cluster 1965: ECFP_843 (n=1),ECFP_843,ECFP_843,1,"[""ECFP_843""]",normalized,5,0.0006039288393055641,0.0004711859591405826,-0.00013274288016498136,0.000933134923976995,-0.0012014980316887853,0.0011229164826422127,0.4,-0.00013274288016498136,0.000933134923976995,0.2500000313819021,0.4500000313819021,0.000625965958484166,-0.21206086108329344,4.0,0.8424270266656274,1.0,False,0.00013274288016498136,287
cluster_2275,2275,Cluster 2275: MACCS_93 (n=1),MACCS_93,MACCS_93,1,"[""MACCS_93""]",normalized,5,0.00014504292162059108,1.9510596910400232e-05,-0.00012553232471019087,0.00023661560316160795,-0.0005312176969496959,7.128283424773608e-05,0.2,-0.00012553232471019087,0.00023661560316160795,0.2500000313819021,0.4500000313819021,0.0001587265774965427,-0.7908714891362484,4.0,0.4732697895317075,1.0,False,0.00012553232471019087,288
cluster_2016,2016,Cluster 2016: ECFP_89 (n=1),ECFP_89,ECFP_89,1,"[""ECFP_89""]",normalized,5,0.0,0.0001241934734259274,0.0001241934734259274,0.00019985066616777267,0.0,0.00045894413917309826,0.4,0.0001241934734259274,0.00019985066616777267,0.2500000313819021,0.4500000313819021,0.00013406390714457177,0.9263751599600906,4.0,0.4066840556708518,1.0,False,0.0001241934734259274,289
cluster_2367,2367,Cluster 2367: n7ARing (n=4),n7ARing,n7ARing,4,"[""n7ARing"", ""n7AHRing"", ""n7HRing"", ""n7Ring""]",normalized,5,0.00010504477662507334,0.0002288125077039788,0.00012376773107890547,0.0004487182032947464,-0.00023098787221993998,0.0008273937209081562,0.4,0.00012376773107890547,0.0004487182032947464,0.2500000313819021,0.4500000313819021,0.0003010093320884146,0.4111757274108417,4.0,0.702018861544981,1.0,False,0.00012376773107890547,290
cluster_2297,2297,Cluster 2297: SsssN (n=2),SsssN,SsssN,2,"[""SsssN"", ""NsssN""]",normalized,5,0.0003675503780045464,0.0004910633874001351,0.00012351300939558875,0.0004424766336522779,-0.0003537545487499231,0.0008299545631745189,0.4,0.00012351300939558875,0.0004424766336522779,0.2500000313819021,0.4500000313819021,0.0002968223597403624,0.41611760483148413,4.0,0.6986809455684397,1.0,False,0.00012351300939558875,291
cluster_2174,2174,Cluster 2174: MACCS_102 (n=2),MACCS_102,MACCS_102,2,"[""MACCS_102"", ""MACCS_130""]",normalized,5,0.00013623688544329114,1.3322997527759107e-05,-0.00012291388791553205,0.00016886478659575732,-0.0003266829901921789,0.0,0.0,-0.00012291388791553205,0.00016886478659575732,0.2500000313819021,0.4500000313819021,0.0001132779465000962,-1.0850645841768298,4.0,0.3389147977032643,1.0,False,0.00012291388791553205,292
cluster_2199,2199,Cluster 2199: nHBDon (n=2),nHBDon,nHBDon,2,"[""nHBDon"", ""MACCS_131""]",normalized,5,0.00022956400651163392,0.00010727499443926919,-0.0001222890120723647,0.0001287747688651319,-0.00030458599615929086,2.487714013020964e-05,0.2,-0.0001222890120723647,0.0001287747688651319,0.2500000313819021,0.4500000313819021,8.638474410290798e-05,-1.4156320464026018,4.0,0.22981390117344777,1.0,False,0.0001222890120723647,293
cluster_736,736,Cluster 736: ECFP_1571 (n=1),ECFP_1571,ECFP_1571,1,"[""ECFP_1571""]",normalized,5,0.0,0.00011943209687041889,0.00011943209687041889,0.0002670582872975966,0.0,0.0005971604843520945,0.2,0.00011943209687041889,0.0002670582872975966,0.2500000313819021,0.4500000313819021,0.00017914815155230555,0.6666666434208144,4.0,0.5414697526727534,1.0,False,0.00011943209687041889,294
cluster_54,54,Cluster 54: ATSC5c (n=1),ATSC5c,ATSC5c,1,"[""ATSC5c""]",normalized,5,0.0023807325402700435,0.002263957439454684,-0.00011677510081535974,0.0009648525720336744,-0.0011042993856362046,0.0013755472952397684,0.4,-0.00011677510081535974,0.0009648525720336744,0.2500000313819021,0.4500000313819021,0.0006472428043684084,-0.18041931100232325,4.0,0.8655953767824425,1.0,False,0.00011677510081535974,295
cluster_1460,1460,Cluster 1460: ECFP_381 (n=1),ECFP_381,ECFP_381,1,"[""ECFP_381""]",normalized,5,4.363230759940915e-06,0.00012076379026334694,0.00011640055950340603,0.0002387439097731653,-2.1816153799704576e-05,0.0005395704332506968,0.4,0.00011640055950340603,0.0002387439097731653,0.2500000313819021,0.4500000313819021,0.0001601542890244466,0.7268026364603833,4.0,0.5075997204107281,1.0,False,0.00011640055950340603,296
