cluster_key,cluster_id,cluster_label,algorithmic_medoid,selected_representative,cluster_size_defined,members_defined_json,importance_scale,n_paired_outer_folds,mse_mean_importance,mtl_mean_importance,mtl_minus_mse,fold_sd_difference,minimum_fold_difference,maximum_fold_difference,fraction_folds_mtl_greater,mean_difference,difference_sd,mean_test_train_ratio,nadeau_bengio_correction_factor,nadeau_bengio_standard_error,nadeau_bengio_t_statistic,nadeau_bengio_degrees_of_freedom,p_value_two_sided_nadeau_bengio,p_value_adjusted,significant_adjusted_0_05,absolute_mtl_minus_mse,difference_rank_by_absolute_value
cluster_2379,2379,Cluster 2379: nAcid (n=1),nAcid,nAcid,1,"[""nAcid""]",raw,5,0.018079730625187508,0.03470496375399991,0.016625233128812398,0.014213222971685577,-0.0009481123569500226,0.037471216002403857,0.8,0.016625233128812398,0.014213222971685577,0.2500000313819021,0.4500000313819021,0.009534520155672225,1.7436884979389136,4.0,0.15616343097629923,1.0,False,0.016625233128812398,1
cluster_33,33,Cluster 33: ATSC2c (n=1),ATSC2c,ATSC2c,1,"[""ATSC2c""]",raw,5,0.025155969448037184,0.010421671404572095,-0.014734298043465089,0.009424666741546617,-0.02363664168744254,-0.0018527612010466599,0.0,-0.014734298043465089,0.009424666741546617,0.2500000313819021,0.4500000313819021,0.0063222588702633465,-2.330543298814866,4.0,0.0802043434294662,1.0,False,0.014734298043465089,2
cluster_2149,2149,Cluster 2149: WNSA4 (n=4),WNSA4,WNSA4,4,"[""WNSA4"", ""FNSA2"", ""PNSA4"", ""PNSA1""]",raw,5,0.028873822407795402,0.03759605334565727,0.008722230937861872,0.008296616334875039,0.001556544296363635,0.02235662243054459,1.0,0.008722230937861872,0.008296616334875039,0.2500000313819021,0.4500000313819021,0.005565539626468292,1.5671851290719698,4.0,0.1921391469730753,1.0,False,0.008722230937861872,3
cluster_2319,2319,Cluster 2319: SLogP (n=1),SLogP,SLogP,1,"[""SLogP""]",raw,5,0.0169590562131298,0.02556446684128729,0.008605410628157496,0.003332944662371685,0.005499287200275711,0.013659099505410395,1.0,0.008605410628157496,0.003332944662371685,0.2500000313819021,0.4500000313819021,0.0022358073270523217,3.8489052808959303,4.0,0.0183197009307988,1.0,False,0.008605410628157496,4
cluster_1299,1299,Cluster 1299: ECFP_235 (n=1),ECFP_235,ECFP_235,1,"[""ECFP_235""]",raw,5,0.0001331605250184758,0.008638908834229797,0.008505748309211322,0.005594131418604544,0.0041979232268747465,0.018162712833177344,1.0,0.008505748309211322,0.005594131418604544,0.2500000313819021,0.4500000313819021,0.0037526575689707125,2.2665932483534057,4.0,0.08605091825377251,1.0,False,0.008505748309211322,5
cluster_2280,2280,Cluster 2280: MIC3 (n=5),MIC3,MIC3,5,"[""MIC3"", ""MIC2"", ""MIC4"", ""MIC5"", ""MIC1""]",raw,5,0.013743076607018099,0.005418613069488189,-0.00832446353752991,0.005532750423266079,-0.016738631730672686,-0.0017904112814897415,0.0,-0.00832446353752991,0.005532750423266079,0.2500000313819021,0.4500000313819021,0.003711481944103947,-2.2428947959060226,4.0,0.08833793950795438,1.0,False,0.00832446353752991,6
cluster_169,169,Cluster 169: ECFP_1060 (n=1),ECFP_1060,ECFP_1060,1,"[""ECFP_1060""]",raw,5,0.0030122707874421875,0.010741161283954007,0.007728890496511818,0.006207051276479791,0.0012430863057185369,0.01710101864785302,1.0,0.007728890496511818,0.006207051276479791,0.2500000313819021,0.4500000313819021,0.004163816723397898,1.856203336972197,4.0,0.1370014216802868,1.0,False,0.007728890496511818,7
cluster_2308,2308,Cluster 2308: PEOE_VSA6 (n=1),PEOE_VSA6,PEOE_VSA6,1,"[""PEOE_VSA6""]",raw,5,0.02447559686113323,0.031802859962802174,0.007327263101668938,0.009531096694500812,-0.006051968863558469,0.019120626675053848,0.8,0.007327263101668938,0.009531096694500812,0.2500000313819021,0.4500000313819021,0.006393654255647122,1.1460211654699997,4.0,0.3156859726671278,1.0,False,0.007327263101668938,8
cluster_2350,2350,Cluster 2350: Xch-6dv (n=4),Xch-6dv,Xch-6dv,4,"[""Xch-6dv"", ""Xch-7d"", ""Xch-7dv"", ""Xch-6d""]",raw,5,0.007505229541083791,0.014665333367579183,0.007160103826495396,0.01117395270384347,-0.005740956138798368,0.018334232611938575,0.6,0.007160103826495396,0.01117395270384347,0.2500000313819021,0.4500000313819021,0.007495715608314918,0.9552261852827991,4.0,0.3935562641665228,1.0,False,0.007160103826495396,9
cluster_2316,2316,Cluster 2316: RNCS (n=1),RNCS,RNCS,1,"[""RNCS""]",raw,5,0.016051705061009267,0.02262429802350686,0.006572592962497595,0.010531491952627965,-0.008187635420388653,0.018062386793768054,0.8,0.006572592962497595,0.010531491952627965,0.2500000313819021,0.4500000313819021,0.007064739819509284,0.930337582191969,4.0,0.40485944937960305,1.0,False,0.006572592962497595,10
