,MSE,MDE,MAE,pearson,r2,balanced_acc,prec,recall,rocauc,prauc,kappa,MCC,f1
outerfold_1,0.04980861104214022,0.014184807043565284,0.08449338356739106,0.9540655329827222,0.9088535550967323,0.635326561346411,0.7430555555555556,0.32293762575452717,0.635326561346411,0.4558733335205329,0.3185414718130878,0.3650624911345213,0.45021037868162694
outerfold_2,0.056947107982865015,0.01698605643050871,0.09135572577024875,0.9467581466639746,0.8957905805530446,0.6220329513586464,0.7013888888888888,0.30482897384305835,0.6220329513586464,0.43549117531625425,0.2872500087840969,0.3292011027269544,0.42496493688639553
outerfold_3,0.03956031334886646,0.028384127840311635,0.08759539596169805,0.9636691724803683,0.9276072581514505,0.6105943243066501,0.7443181818181818,0.2635814889336016,0.6105943243066502,0.4310296880592329,0.2670510620744422,0.3256957750965529,0.38930163447251115
outerfold_4,0.04697338320018874,0.02279428975991382,0.08506188878715899,0.9565475408921562,0.9140418334461526,0.6141998007830307,0.7153846153846154,0.2806841046277666,0.6141998007830307,0.43018432154586905,0.27241389834646845,0.3217278515060495,0.4031791907514451
outerfold_5,0.05402186912531697,0.06689066762372203,0.12633718631906882,0.9505467492792078,0.9011435730734106,0.5978705487754601,0.7758620689655172,0.22635814889336017,0.5978705487754601,0.4223342833766285,0.24115598877662658,0.31404241267886684,0.35046728971962615
mean,0.04946225693987548,0.029847989739604296,0.09496871608111312,0.9543174284596858,0.9094873600641581,0.6160048373140397,0.7360018621225518,0.2796780684104628,0.6160048373140397,0.43498256036370353,0.27728248595894434,0.331145926628589,0.40362468610232094
std,0.006019568073427702,0.01915631582798378,0.015869960881770066,0.005724556432951042,0.011015409148469414,0.012418143236408314,0.025810387959183913,0.03348755931004675,0.012418143236408304,0.0112721807846597,0.02543684101334548,0.01769208957730958,0.033635368649401136
