,balanced_acc_bins,recall_bins,prec_bins,f1_bins,rocauc_bins,prauc_bins,kappa_bins,mcc_bins,support_c_bins,mae_bins,mde_bins,mse_bins,pearson_bins,r2_bins,support_r_bins,balanced_acc_bins_neg,prec_bins_neg,recall_bins_neg,rocauc_bins_neg,prauc_bins_neg,kappa_bins_neg,mcc_bins_neg,f1_bins_neg,support_c_bins_neg
0,1.0,1.0,1.0,1.0,,1.0,,0.0,1,,,,,,0,1.0,0.0,0.0,,0.0,,0.0,0.0,1
1,0.5,1.0,0.8934426229508197,0.9437229437229437,0.5,0.8934426229508197,0.0,0.0,122,0.39877111075085103,0.30151372040965163,0.2791419980118955,0.4997015803826027,-0.02287505776258314,13,0.5,0.0,0.0,0.5,0.10655737704918032,0.0,0.0,0.0,122
2,0.5857110862262038,0.2863157894736842,0.7157894736842105,0.40902255639097745,0.5857110862262038,0.5636719869850064,0.17087682089635536,0.21385157450953365,945,0.4753259899440635,0.3993394915768599,0.3552366206071195,0.3036844202301563,0.0821789743204363,155,0.5857110862262038,0.5509933774834437,0.8851063829787233,0.5857110862262038,0.5448306125324583,0.17087682089635536,0.21385157450953365,0.6791836734693878,945
3,0.5,0.0,0.0,0.0,0.5,0.2240117130307467,0.0,0.0,1366,0.3550392945325021,0.2620671481079394,0.23301296867656132,0.35326497139391344,0.12330834578794991,375,0.5,0.7759882869692533,1.0,0.5,0.7759882869692533,0.0,0.0,0.8738664468260511,1366
4,0.5,0.0,0.0,0.0,0.5,0.097953216374269,0.0,0.0,684,0.2997330397956745,0.22430715345520646,0.1580577207626978,0.4357173535930065,0.17376919782422562,206,0.5,0.902046783625731,1.0,0.5,0.902046783625731,0.0,0.0,0.9485011529592621,684
5,0.5,0.0,0.0,0.0,0.5,0.07894736842105263,0.0,0.0,38,0.2545397400694007,0.2475505209585812,0.08944884621949245,0.03523164104934687,-0.12874213821542124,16,0.5,0.9210526315789473,1.0,0.5,0.9210526315789473,0.0,0.0,0.958904109589041,38
