scope,cluster_id,cluster_size,medoid_candidate_rank,feature,mean_distance_to_cluster,mean_abs_correlation_to_cluster,min_abs_correlation_to_cluster,max_abs_correlation_to_cluster,missing_fraction,n_nonmissing,variance_after_imputation,algorithmic_medoid,selected_representative,is_algorithmic_medoid,is_selected_representative,members_json
final,1472,1,1,ECFP_392,0.0,1.0,1.0,1.0,0.0,3156,0.06018461626194136,ECFP_392,ECFP_392,True,True,"[""ECFP_392""]"
final,1473,1,1,ECFP_393,0.0,1.0,1.0,1.0,0.0,3156,0.0050440065475702844,ECFP_393,ECFP_393,True,True,"[""ECFP_393""]"
final,1474,1,1,ECFP_394,0.0,1.0,1.0,1.0,0.0,3156,0.012204708756813025,ECFP_394,ECFP_394,True,True,"[""ECFP_394""]"
final,1475,1,1,ECFP_395,0.0,1.0,1.0,1.0,0.0,3156,0.005984035076728337,ECFP_395,ECFP_395,True,True,"[""ECFP_395""]"
final,1476,1,1,ECFP_396,0.0,1.0,1.0,1.0,0.0,3156,0.0022130779523903614,ECFP_396,ECFP_396,True,True,"[""ECFP_396""]"
final,1477,1,1,ECFP_398,0.0,1.0,1.0,1.0,0.0,3156,0.007546733363211846,ECFP_398,ECFP_398,True,True,"[""ECFP_398""]"
final,1478,1,1,ECFP_399,0.0,1.0,1.0,1.0,0.0,3156,0.002843578770836647,ECFP_399,ECFP_399,True,True,"[""ECFP_399""]"
final,1479,1,1,ECFP_4,0.0,1.0,1.0,1.0,0.0,3156,0.018954681850090194,ECFP_4,ECFP_4,True,True,"[""ECFP_4""]"
final,1480,1,1,ECFP_40,0.0,1.0,1.0,1.0,0.0,3156,0.00473026211163961,ECFP_40,ECFP_40,True,True,"[""ECFP_40""]"
final,1481,1,1,ECFP_400,0.0,1.0,1.0,1.0,0.0,3156,0.004730262111639609,ECFP_400,ECFP_400,True,True,"[""ECFP_400""]"
final,1482,1,1,ECFP_401,0.0,1.0,1.0,1.0,0.0,3156,0.018039953672245593,ECFP_401,ECFP_401,True,True,"[""ECFP_401""]"
final,1483,1,1,ECFP_402,0.0,1.0,1.0,1.0,0.0,3156,0.004416316879269936,ECFP_402,ECFP_402,True,True,"[""ECFP_402""]"
final,1484,1,1,ECFP_403,0.0,1.0,1.0,1.0,0.0,3156,0.016205075812703508,ECFP_403,ECFP_403,True,True,"[""ECFP_403""]"
