feature,n_nonmissing,missing_fraction,n_unique_nonmissing,status
ECFP_176,3156,0.0,2,included
ECFP_177,3156,0.0,2,included
ECFP_178,3156,0.0,2,included
ECFP_179,3156,0.0,2,included
ECFP_180,3156,0.0,2,included
ECFP_181,3156,0.0,2,included
ECFP_182,3156,0.0,2,included
ECFP_183,3156,0.0,2,included
ECFP_184,3156,0.0,2,included
ECFP_185,3156,0.0,2,included
ECFP_186,3156,0.0,2,included
ECFP_187,3156,0.0,2,included
ECFP_188,3156,0.0,2,included
ECFP_189,3156,0.0,2,included
ECFP_190,3156,0.0,2,included
ECFP_191,3156,0.0,2,included
ECFP_192,3156,0.0,2,included
ECFP_193,3156,0.0,2,included
ECFP_194,3156,0.0,2,included
ECFP_195,3156,0.0,2,included
ECFP_196,3156,0.0,2,included
ECFP_197,3156,0.0,2,included
ECFP_198,3156,0.0,2,included
ECFP_199,3156,0.0,2,included
ECFP_200,3156,0.0,2,included
ECFP_201,3156,0.0,2,included
ECFP_202,3156,0.0,2,included
ECFP_203,3156,0.0,2,included
ECFP_204,3156,0.0,2,included
ECFP_205,3156,0.0,2,included
ECFP_206,3156,0.0,2,included
ECFP_207,3156,0.0,2,included
ECFP_208,3156,0.0,2,included
ECFP_209,3156,0.0,2,included
ECFP_210,3156,0.0,2,included
ECFP_211,3156,0.0,2,included
ECFP_212,3156,0.0,2,included
ECFP_213,3156,0.0,2,included
ECFP_214,3156,0.0,2,included
ECFP_215,3156,0.0,2,included
ECFP_216,3156,0.0,2,included
ECFP_217,3156,0.0,2,included
ECFP_218,3156,0.0,2,included
ECFP_219,3156,0.0,2,included
ECFP_220,3156,0.0,2,included
ECFP_221,3156,0.0,2,included
ECFP_222,3156,0.0,2,included
ECFP_223,3156,0.0,2,included
ECFP_224,3156,0.0,2,included
ECFP_225,3156,0.0,2,included
ECFP_226,3156,0.0,2,included
ECFP_227,3156,0.0,2,included
ECFP_228,3156,0.0,2,included
ECFP_229,3156,0.0,2,included
ECFP_230,3156,0.0,2,included
ECFP_231,3156,0.0,2,included
ECFP_232,3156,0.0,2,included
ECFP_233,3156,0.0,2,included
ECFP_234,3156,0.0,2,included
ECFP_235,3156,0.0,2,included
ECFP_236,3156,0.0,2,included
ECFP_237,3156,0.0,2,included
ECFP_238,3156,0.0,2,included
ECFP_239,3156,0.0,2,included
ECFP_240,3156,0.0,2,included
ECFP_241,3156,0.0,2,included
ECFP_242,3156,0.0,2,included
ECFP_243,3156,0.0,2,included
ECFP_244,3156,0.0,2,included
ECFP_245,3156,0.0,2,included
ECFP_246,3156,0.0,2,included
ECFP_247,3156,0.0,2,included
ECFP_248,3156,0.0,2,included
ECFP_249,3156,0.0,2,included
ECFP_250,3156,0.0,2,included
ECFP_251,3156,0.0,2,included
ECFP_252,3156,0.0,2,included
ECFP_253,3156,0.0,2,included
ECFP_254,3156,0.0,2,included
ECFP_255,3156,0.0,2,included
ECFP_256,3156,0.0,2,included
ECFP_257,3156,0.0,2,included
ECFP_258,3156,0.0,2,included
ECFP_259,3156,0.0,2,included
ECFP_260,3156,0.0,2,included
ECFP_261,3156,0.0,2,included
ECFP_262,3156,0.0,2,included
ECFP_263,3156,0.0,2,included
ECFP_264,3156,0.0,2,included
ECFP_265,3156,0.0,2,included
ECFP_266,3156,0.0,2,included
ECFP_267,3156,0.0,2,included
ECFP_268,3156,0.0,2,included
ECFP_269,3156,0.0,2,included
ECFP_270,3156,0.0,2,included
ECFP_271,3156,0.0,2,included
ECFP_272,3156,0.0,2,included
ECFP_273,3156,0.0,2,included
ECFP_274,3156,0.0,2,included
ECFP_275,3156,0.0,2,included
ECFP_276,3156,0.0,2,included
ECFP_277,3156,0.0,2,included
ECFP_278,3156,0.0,2,included
ECFP_279,3156,0.0,2,included
ECFP_280,3156,0.0,2,included
ECFP_281,3156,0.0,2,included
ECFP_282,3156,0.0,2,included
ECFP_283,3156,0.0,2,included
ECFP_284,3156,0.0,2,included
ECFP_285,3156,0.0,2,included
ECFP_286,3156,0.0,2,included
ECFP_287,3156,0.0,2,included
ECFP_288,3156,0.0,2,included
ECFP_289,3156,0.0,2,included
ECFP_290,3156,0.0,2,included
ECFP_291,3156,0.0,2,included
ECFP_292,3156,0.0,2,included
ECFP_293,3156,0.0,2,included
ECFP_294,3156,0.0,2,included
ECFP_295,3156,0.0,2,included
ECFP_296,3156,0.0,2,included
ECFP_297,3156,0.0,2,included
ECFP_298,3156,0.0,2,included
ECFP_299,3156,0.0,2,included
ECFP_300,3156,0.0,2,included
ECFP_301,3156,0.0,2,included
ECFP_302,3156,0.0,2,included
ECFP_303,3156,0.0,2,included
ECFP_304,3156,0.0,2,included
ECFP_305,3156,0.0,2,included
ECFP_306,3156,0.0,2,included
ECFP_307,3156,0.0,2,included
ECFP_308,3156,0.0,2,included
ECFP_309,3156,0.0,2,included
ECFP_310,3156,0.0,2,included
ECFP_311,3156,0.0,2,included
ECFP_312,3156,0.0,2,included
ECFP_313,3156,0.0,2,included
ECFP_314,3156,0.0,2,included
ECFP_315,3156,0.0,2,included
ECFP_316,3156,0.0,2,included
ECFP_317,3156,0.0,2,included
ECFP_318,3156,0.0,2,included
ECFP_319,3156,0.0,2,included
ECFP_320,3156,0.0,2,included
ECFP_321,3156,0.0,2,included
ECFP_322,3156,0.0,2,included
ECFP_323,3156,0.0,2,included
ECFP_324,3156,0.0,2,included
ECFP_325,3156,0.0,2,included
ECFP_326,3156,0.0,2,included
ECFP_327,3156,0.0,2,included
ECFP_328,3156,0.0,2,included
ECFP_329,3156,0.0,2,included
ECFP_330,3156,0.0,2,included
ECFP_331,3156,0.0,2,included
ECFP_332,3156,0.0,2,included
ECFP_333,3156,0.0,2,included
ECFP_334,3156,0.0,2,included
ECFP_335,3156,0.0,2,included
ECFP_336,3156,0.0,2,included
ECFP_337,3156,0.0,2,included
ECFP_338,3156,0.0,2,included
ECFP_339,3156,0.0,2,included
ECFP_340,3156,0.0,2,included
ECFP_341,3156,0.0,2,included
ECFP_342,3156,0.0,2,included
ECFP_343,3156,0.0,2,included
ECFP_344,3156,0.0,2,included
ECFP_345,3156,0.0,2,included
ECFP_346,3156,0.0,2,included
ECFP_347,3156,0.0,2,included
ECFP_348,3156,0.0,2,included
ECFP_349,3156,0.0,2,included
ECFP_350,3156,0.0,2,included
ECFP_351,3156,0.0,2,included
ECFP_352,3156,0.0,2,included
ECFP_353,3156,0.0,2,included
ECFP_354,3156,0.0,2,included
ECFP_355,3156,0.0,2,included
ECFP_356,3156,0.0,2,included
ECFP_357,3156,0.0,2,included
ECFP_358,3156,0.0,2,included
ECFP_359,3156,0.0,2,included
ECFP_360,3156,0.0,2,included
ECFP_361,3156,0.0,2,included
ECFP_362,3156,0.0,2,included
ECFP_363,3156,0.0,2,included
ECFP_364,3156,0.0,2,included
ECFP_365,3156,0.0,2,included
ECFP_366,3156,0.0,2,included
ECFP_367,3156,0.0,2,included
ECFP_368,3156,0.0,2,included
ECFP_369,3156,0.0,2,included
ECFP_370,3156,0.0,2,included
ECFP_371,3156,0.0,2,included
ECFP_372,3156,0.0,2,included
ECFP_373,3156,0.0,2,included
ECFP_374,3156,0.0,2,included
ECFP_375,3156,0.0,2,included
ECFP_376,3156,0.0,2,included
ECFP_377,3156,0.0,2,included
ECFP_378,3156,0.0,2,included
ECFP_379,3156,0.0,2,included
ECFP_380,3156,0.0,2,included
ECFP_381,3156,0.0,2,included
ECFP_382,3156,0.0,2,included
ECFP_383,3156,0.0,2,included
ECFP_384,3156,0.0,2,included
ECFP_385,3156,0.0,2,included
ECFP_386,3156,0.0,2,included
ECFP_387,3156,0.0,2,included
ECFP_388,3156,0.0,2,included
ECFP_389,3156,0.0,2,included
ECFP_390,3156,0.0,2,included
ECFP_391,3156,0.0,2,included
ECFP_392,3156,0.0,2,included
ECFP_393,3156,0.0,2,included
ECFP_394,3156,0.0,2,included
ECFP_395,3156,0.0,2,included
ECFP_396,3156,0.0,2,included
ECFP_397,3156,0.0,2,included
ECFP_398,3156,0.0,2,included
ECFP_399,3156,0.0,2,included
ECFP_400,3156,0.0,2,included
ECFP_401,3156,0.0,2,included
ECFP_402,3156,0.0,2,included
ECFP_403,3156,0.0,2,included
ECFP_404,3156,0.0,2,included
