,balanced_acc_bins,recall_bins,prec_bins,f1_bins,rocauc_bins,prauc_bins,kappa_bins,mcc_bins,support_c_bins,mae_bins,mde_bins,mse_bins,pearson_bins,r2_bins,support_r_bins,balanced_acc_bins_neg,prec_bins_neg,recall_bins_neg,rocauc_bins_neg,prauc_bins_neg,kappa_bins_neg,mcc_bins_neg,f1_bins_neg,support_c_bins_neg
0,0,0,0,0,,1,0,0,2,,,,,,0,0,0,0,,0,0,0,0,2
1,0.507331378,0.075268817,0.777777778,0.137254902,0.507331378,0.741082096,0.00805153,0.02503225,126,1.589962226,1.48879502,3.227453361,-0.077742549,-10.02725094,19,0.507331378,0.264957265,0.939393939,0.507331378,0.264772265,0.00805153,0.02503225,0.413333333,126
2,0.498817305,0.102396514,0.460784314,0.167557932,0.498817305,0.465881894,-0.002486976,-0.003871279,984,0.931621228,0.828010719,1.24566173,0.162283355,-2.043985692,158,0.498817305,0.532879819,0.895238095,0.498817305,0.532948623,-0.002486976,-0.003871279,0.668088131,984
3,0.479806485,0.075987842,0.18115942,0.107066381,0.479806485,0.247612067,-0.049979082,-0.057004201,1300,0.797343455,0.775368545,0.829766835,0.053569906,-2.239697236,366,0.479806485,0.7383821,0.883625129,0.479806485,0.739376055,-0.049979082,-0.057004201,0.804500703,1300
4,0.471382707,0.056074766,0.086956522,0.068181818,0.471382707,0.157213925,-0.0668158,-0.068955683,663,0.983943004,0.92330176,1.34589425,0.0134309,-5.479859073,202,0.471382707,0.82996633,0.886690647,0.471382707,0.830946007,-0.0668158,-0.068955683,0.857391304,663
5,0.460526316,0,0,0,0.460526316,0.095238095,-0.088888889,-0.089984254,42,1.207778411,1.382035901,1.777591033,0.266257765,-28.29258932,16,0.460526316,0.897435897,0.921052632,0.460526316,0.898014266,-0.088888889,-0.089984254,0.909090909,42
