,margin_buffer,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree
1,0.31,0.016041160559505115,139,4,50,0.909073166746959,0.8501574839937991
2,0.27,0.01172931082013014,142,8,50,0.8676694021163152,0.5638428906351857
3,0.21,0.01221431665201958,129,6,49,0.6946690095149953,0.7510557175678361
4,0.35,0.03876412859553344,40,3,5,0.8780490337091027,0.9234952567745962
5,0.29000000000000004,0.015332688011904037,23,4,45,0.6769995505647947,0.6202408745263857
