,MSE,MDE,MAE,pearson,r2,balanced_acc,prec,recall,rocauc,prauc,kappa,MCC,f1
outerfold_1,0.06466111981623462,0.0020118616310094983,0.08466443473530737,0.9392251710580384,0.8816744520394725,0.5369878242606843,0.9866666666666667,0.0744466800804829,0.5369878242606841,0.36860965601113904,0.09808942771427853,0.22498146162091343,0.1384471468662301
outerfold_2,0.0865559811942681,0.0015777292432782586,0.09706432378599229,0.917937554886094,0.8416083121792539,0.5334986840496583,0.9577464788732394,0.06841046277665996,0.5334986840496583,0.36260040598937104,0.0889626633300371,0.2092819666515986,0.12769953051643193
outerfold_3,0.05511569258698593,0.015442123089984106,0.09467917945258746,0.9491465184910719,0.8991419489004627,0.537554815468411,0.9390243902439024,0.07746478873239436,0.537554815468411,0.36693446042893507,0.09934638638417792,0.21871448348649686,0.14312267657992564
outerfold_4,0.061749804979085,0.00010166792678145686,0.07835344795309696,0.9419552309095149,0.887001964528745,0.5343011910369423,0.922077922077922,0.07142857142857142,0.5343011910369423,0.36198077095918424,0.09090015763377912,0.20598008395609765,0.13258636788048553
outerfold_5,0.0637690231407806,0.0036618242073699347,0.08771572804667524,0.9408073651204267,0.8833069296126548,0.5337341998292155,0.9714285714285714,0.06841046277665996,0.5337341998292154,0.3635364042728344,0.08961995739816597,0.21221855399494738,0.12781954887218044
mean,0.06637032434347086,0.0045590412196846505,0.08849542279473185,0.9378143680930291,0.8785467214521179,0.5352153429289823,0.9553888058580604,0.07203219315895373,0.5352153429289823,0.3647323395322927,0.09338371849208774,0.21423530994201076,0.1339350541430507
std,0.010631696249723504,0.005558614773353912,0.006779512632948669,0.010503337345665878,0.01945529690907968,0.001708285579500212,0.02288469512566329,0.0035196892725424317,0.0017082855795002082,0.002585708835477444,0.004417619461431937,0.006816075732102578,0.006047668989555085
