,balanced_acc,prec,recall,rocauc,prauc,kappa,MCC,f1
outerfold_1,0.5005512679162073,1.0,0.0011025358324145535,0.5005512679162073,0.38565262072205797,0.0013558313379500309,0.026045643597156533,0.0022026431718061676
outerfold_2,0.5,0.0,0.0,0.5,0.38497453310696095,0.0,0.0,0.0
outerfold_3,0.49930986887508627,0.0,0.0,0.49930986887508627,0.38497453310696095,-0.0016969320516226905,-0.023061163738619137,0.0
outerfold_4,0.5,0.0,0.0,0.5,0.38497453310696095,0.0,0.0,0.0
outerfold_5,0.5,0.0,0.0,0.5,0.38497453310696095,0.0,0.0,0.0
mean,0.4999722273582587,0.2,0.0002205071664829107,0.4999722273582587,0.3851101506299804,-6.822014273453192e-05,0.0005968959717074791,0.0004405286343612335
std,0.0003940357057089565,0.4000000000000001,0.0004410143329658214,0.0003940357057089565,0.0002712350460388091,0.0009689775090700677,0.015546133920459454,0.000881057268722467
