scope,cluster_id,algorithmic_medoid,selected_representative,representative_feature
final,213,ECFP_1041,ECFP_1041,ECFP_1041
final,214,ECFP_1042,ECFP_1042,ECFP_1042
final,215,ECFP_1043,ECFP_1043,ECFP_1043
final,216,ECFP_1044,ECFP_1044,ECFP_1044
final,217,ECFP_1045,ECFP_1045,ECFP_1045
final,218,ECFP_1046,ECFP_1046,ECFP_1046
final,219,ECFP_1047,ECFP_1047,ECFP_1047
final,220,ECFP_1048,ECFP_1048,ECFP_1048
final,221,ECFP_1049,ECFP_1049,ECFP_1049
final,222,ECFP_105,ECFP_105,ECFP_105
final,223,ECFP_1050,ECFP_1050,ECFP_1050
final,224,ECFP_1051,ECFP_1051,ECFP_1051
final,225,ECFP_1052,ECFP_1052,ECFP_1052
final,226,ECFP_1053,ECFP_1053,ECFP_1053
final,227,ECFP_1054,ECFP_1054,ECFP_1054
final,228,ECFP_1055,ECFP_1055,ECFP_1055
final,229,ECFP_1056,ECFP_1056,ECFP_1056
final,230,ECFP_1057,ECFP_1057,ECFP_1057
final,231,ECFP_1058,ECFP_1058,ECFP_1058
final,232,ECFP_1059,ECFP_1059,ECFP_1059
final,233,ECFP_106,ECFP_106,ECFP_106
final,234,ECFP_1060,ECFP_1060,ECFP_1060
final,235,ECFP_1061,ECFP_1061,ECFP_1061
final,236,ECFP_1062,ECFP_1062,ECFP_1062
final,237,ECFP_698,ECFP_698,ECFP_698
final,238,ECFP_1064,ECFP_1064,ECFP_1064
final,239,ECFP_1065,ECFP_1065,ECFP_1065
final,240,ECFP_1066,ECFP_1066,ECFP_1066
final,241,ECFP_1067,ECFP_1067,ECFP_1067
final,242,ECFP_1068,ECFP_1068,ECFP_1068
final,243,ECFP_1069,ECFP_1069,ECFP_1069
final,244,ECFP_107,ECFP_107,ECFP_107
final,245,ECFP_1070,ECFP_1070,ECFP_1070
final,246,ECFP_1071,ECFP_1071,ECFP_1071
final,247,ECFP_1072,ECFP_1072,ECFP_1072
final,248,ECFP_1073,ECFP_1073,ECFP_1073
final,249,ECFP_1074,ECFP_1074,ECFP_1074
final,250,ECFP_1075,ECFP_1075,ECFP_1075
final,251,ECFP_1076,ECFP_1076,ECFP_1076
final,252,ECFP_1077,ECFP_1077,ECFP_1077
final,253,ECFP_1078,ECFP_1078,ECFP_1078
final,254,ECFP_1079,ECFP_1079,ECFP_1079
final,255,ECFP_108,ECFP_108,ECFP_108
final,256,ECFP_1080,ECFP_1080,ECFP_1080
final,257,ECFP_1081,ECFP_1081,ECFP_1081
final,258,ECFP_1082,ECFP_1082,ECFP_1082
final,259,ECFP_1083,ECFP_1083,ECFP_1083
final,260,ECFP_1084,ECFP_1084,ECFP_1084
final,261,ECFP_1085,ECFP_1085,ECFP_1085
final,262,ECFP_1086,ECFP_1086,ECFP_1086
final,263,ECFP_1087,ECFP_1087,ECFP_1087
final,264,ECFP_1088,ECFP_1088,ECFP_1088
