scope,cluster_id,cluster_size,medoid_candidate_rank,feature,mean_distance_to_cluster,mean_abs_correlation_to_cluster,min_abs_correlation_to_cluster,max_abs_correlation_to_cluster,missing_fraction,n_nonmissing,variance_after_imputation,algorithmic_medoid,selected_representative,is_algorithmic_medoid,is_selected_representative,members_json
final,1765,1,1,ECFP_658,0.0,1.0,1.0,1.0,0.0,860,0.030409680908599256,ECFP_658,ECFP_658,True,True,"[""ECFP_658""]"
final,1766,1,1,ECFP_66,0.0,1.0,1.0,1.0,0.0,860,0.006928069226608975,ECFP_66,ECFP_66,True,True,"[""ECFP_66""]"
final,1767,1,1,ECFP_660,0.0,1.0,1.0,1.0,0.0,860,0.002320173066522443,ECFP_660,ECFP_660,True,True,"[""ECFP_660""]"
final,1768,1,1,ECFP_661,0.0,1.0,1.0,1.0,0.0,860,0.017137641968631684,ECFP_661,ECFP_661,True,True,"[""ECFP_661""]"
final,1769,1,1,ECFP_662,0.0,1.0,1.0,1.0,0.0,860,0.0057801514332071376,ECFP_662,ECFP_662,True,True,"[""ECFP_662""]"
final,1770,1,1,ECFP_664,0.0,1.0,1.0,1.0,0.0,860,0.013758788534342887,ECFP_664,ECFP_664,True,True,"[""ECFP_664""]"
final,1771,1,1,ECFP_665,0.0,1.0,1.0,1.0,0.0,860,0.0034762033531638738,ECFP_665,ECFP_665,True,True,"[""ECFP_665""]"
final,1772,1,1,ECFP_666,0.0,1.0,1.0,1.0,0.0,860,0.028224716062736608,ECFP_666,ECFP_666,True,True,"[""ECFP_666""]"
final,1773,1,1,ECFP_667,0.0,1.0,1.0,1.0,0.0,860,0.05373039480800432,ECFP_667,ECFP_667,True,True,"[""ECFP_667""]"
final,1774,1,1,ECFP_668,0.0,1.0,1.0,1.0,0.0,860,0.00807328285559762,ECFP_668,ECFP_668,True,True,"[""ECFP_668""]"
final,1775,1,1,ECFP_669,0.0,1.0,1.0,1.0,0.0,860,0.012627095727420226,ECFP_669,ECFP_669,True,True,"[""ECFP_669""]"
final,1776,1,1,ECFP_67,0.0,1.0,1.0,1.0,0.0,860,0.024926987560843702,ECFP_67,ECFP_67,True,True,"[""ECFP_67""]"
final,1777,1,1,ECFP_670,0.0,1.0,1.0,1.0,0.0,860,0.005780151433207137,ECFP_670,ECFP_670,True,True,"[""ECFP_670""]"
final,1778,1,1,ECFP_671,0.0,1.0,1.0,1.0,0.0,860,0.005780151433207137,ECFP_671,ECFP_671,True,True,"[""ECFP_671""]"
final,1779,1,1,ECFP_672,0.0,1.0,1.0,1.0,0.0,860,0.0046295294753921044,ECFP_672,ECFP_672,True,True,"[""ECFP_672""]"
final,1780,1,1,ECFP_673,0.0,1.0,1.0,1.0,0.0,860,0.06389805300162252,ECFP_673,ECFP_673,True,True,"[""ECFP_673""]"
final,1781,2,1,ECFP_675,0.07923315291015764,0.9207668470898424,0.9207668470898424,0.9207668470898424,0.0,860,0.1492306652244456,ECFP_675,ECFP_675,True,True,"[""ECFP_675"", ""MACCS_36""]"
final,1781,2,2,MACCS_36,0.07923315291015764,0.9207668470898424,0.9207668470898424,0.9207668470898424,0.0,860,0.14017712276906436,ECFP_675,ECFP_675,False,False,"[""ECFP_675"", ""MACCS_36""]"
final,1782,1,1,ECFP_676,0.0,1.0,1.0,1.0,0.0,860,0.003476203353163873,ECFP_676,ECFP_676,True,True,"[""ECFP_676""]"
final,1783,1,1,ECFP_677,0.0,1.0,1.0,1.0,0.0,860,0.030409680908599253,ECFP_677,ECFP_677,True,True,"[""ECFP_677""]"
final,1784,1,1,ECFP_678,0.0,1.0,1.0,1.0,0.0,860,0.024926987560843706,ECFP_678,ECFP_678,True,True,"[""ECFP_678""]"
final,1785,1,1,ECFP_679,0.0,1.0,1.0,1.0,0.0,860,0.08056246619794484,ECFP_679,ECFP_679,True,True,"[""ECFP_679""]"
final,1786,1,1,ECFP_68,0.0,1.0,1.0,1.0,0.0,860,0.014887777176852359,ECFP_68,ECFP_68,True,True,"[""ECFP_68""]"
final,1787,1,1,ECFP_680,0.0,1.0,1.0,1.0,0.0,860,0.0390413737155219,ECFP_680,ECFP_680,True,True,"[""ECFP_680""]"
final,1788,1,1,ECFP_681,0.0,1.0,1.0,1.0,0.0,860,0.005780151433207134,ECFP_681,ECFP_681,True,True,"[""ECFP_681""]"
final,1789,1,1,ECFP_682,0.0,1.0,1.0,1.0,0.0,860,0.02271498107084911,ECFP_682,ECFP_682,True,True,"[""ECFP_682""]"
final,1790,1,1,ECFP_683,0.0,1.0,1.0,1.0,0.0,860,0.006928069226608975,ECFP_683,ECFP_683,True,True,"[""ECFP_683""]"
final,1791,1,1,ECFP_684,0.0,1.0,1.0,1.0,0.0,860,0.05166441319632235,ECFP_684,ECFP_684,True,True,"[""ECFP_684""]"
final,1792,2,1,ECFP_686,0.0,1.0,1.0,1.0,0.0,860,0.002320173066522443,ECFP_686,ECFP_686,True,True,"[""ECFP_686"", ""ECFP_763""]"
final,1792,2,2,ECFP_763,0.0,1.0,1.0,1.0,0.0,860,0.002320173066522443,ECFP_686,ECFP_686,False,False,"[""ECFP_686"", ""ECFP_763""]"
final,1793,1,1,ECFP_687,0.0,1.0,1.0,1.0,0.0,860,0.06986884802595995,ECFP_687,ECFP_687,True,True,"[""ECFP_687""]"
final,1794,1,1,ECFP_688,0.0,1.0,1.0,1.0,0.0,860,0.005780151433207137,ECFP_688,ECFP_688,True,True,"[""ECFP_688""]"
final,1795,1,1,ECFP_689,0.0,1.0,1.0,1.0,0.0,860,0.027128177393185505,ECFP_689,ECFP_689,True,True,"[""ECFP_689""]"
final,1796,1,1,ECFP_69,0.0,1.0,1.0,1.0,0.0,860,0.021604921579232026,ECFP_69,ECFP_69,True,True,"[""ECFP_69""]"
final,1797,1,1,ECFP_690,0.0,1.0,1.0,1.0,0.0,860,0.0057801514332071376,ECFP_690,ECFP_690,True,True,"[""ECFP_690""]"
final,1798,1,1,ECFP_691,0.0,1.0,1.0,1.0,0.0,860,0.011492698756084368,ECFP_691,ECFP_691,True,True,"[""ECFP_691""]"
final,1799,1,1,ECFP_692,0.0,1.0,1.0,1.0,0.0,860,0.0260289345592212,ECFP_692,ECFP_692,True,True,"[""ECFP_692""]"
final,1800,1,1,ECFP_693,0.0,1.0,1.0,1.0,0.0,860,0.01937669010275825,ECFP_693,ECFP_693,True,True,"[""ECFP_693""]"
