,MSE,MDE,MAE,pearson,r2,balanced_acc,prec,recall,rocauc,prauc,kappa,MCC,f1
outerfold_1,0.07429358757405971,0.08151628962013321,0.1584910093867197,0.9304305988674855,0.8640476768011847,0.5814920137878614,0.6368876080691642,0.22233400402414488,0.5814920137878614,0.389596638874537,0.19709626851794282,0.24149526113922595,0.3296047725577927
outerfold_2,0.0664596798893737,0.04269305841004631,0.12156209157407231,0.9375123672402021,0.8783832067471093,0.5852631095096249,0.7595419847328244,0.20020120724346077,0.5852631095096249,0.40711415781052385,0.21204762623096107,0.28642152328408765,0.31687898089171973
outerfold_3,0.07538777521010212,0.13107670911755454,0.18866089839896213,0.9297038889488097,0.8620453862133584,0.5736500965282983,0.7054263565891473,0.18309859154929578,0.5736500965282983,0.38966946999122865,0.18341033402368434,0.2491463761230808,0.29073482428115016
outerfold_4,0.062114099507726735,0.09602788121764871,0.15440771572271011,0.942787908288359,0.8863353297744591,0.5655058471412554,0.6995708154506438,0.16398390342052313,0.5655058471412554,0.3813208554428347,0.16449854299828492,0.2321681623337085,0.2656886715566422
outerfold_5,0.07159293292230519,0.0850260677884737,0.1518587501235393,0.9327078886432942,0.8689896951644479,0.5747956888765471,0.724,0.18209255533199195,0.574795688876547,0.39266272902090116,0.18676084469145238,0.25667933211024524,0.2909967845659164
mean,0.0699696150207135,0.0872680012307713,0.1549960930412007,0.9346285303976302,0.8719602589401119,0.5761413511687173,0.705085352968356,0.1903420523138833,0.5761413511687173,0.392072770228005,0.1887627232924651,0.25318213099806963,0.2987808067706442
std,0.00499433935752436,0.028358322812100656,0.021323954242091197,0.004908269547977414,0.0091393087973018,0.0068259382988708536,0.04001186682048583,0.019677204311304073,0.006825938298870858,0.00841548741119785,0.015703762065482872,0.018501593113556973,0.02235208725059384
