,balanced_acc,prec,recall,rocauc,prauc,kappa,MCC,f1
outerfold_1,0.5434200524560526,0.5650557620817844,0.16758544652701213,0.5434200524560526,0.41515352627583985,0.09999518112402472,0.1328681264655051,0.2585034013605442
outerfold_2,0.550960895359534,0.6842105263157895,0.14332965821389196,0.5509608953595339,0.4278639257388768,0.11960504885993484,0.1821372835363212,0.23701002734731086
outerfold_3,0.5368972861183205,0.6086956521739131,0.12348401323042998,0.5368972861183207,0.41260051473375103,0.08672371703731518,0.13382074210147923,0.20531622364802934
outerfold_4,0.5283547258764171,0.5802469135802469,0.10363836824696802,0.528354725876417,0.40521224398291344,0.06700241291394426,0.10904794006043601,0.17586529466791395
outerfold_5,0.5384164115768545,0.6271186440677966,0.12238147739801543,0.5384164115768545,0.414608487149577,0.09044771065904822,0.1418304168130047,0.2047970479704797
mean,0.5396098742774358,0.6130654996439061,0.1320837927232635,0.5396098742774358,0.4150877395761916,0.09275481411885345,0.13994090179534927,0.2162983989988556
std,0.0074675831515511135,0.04161777444134736,0.02174428760418267,0.007467583151551105,0.0073099472538666905,0.01719442378342781,0.02377376911359035,0.02862851358329911
