,MSE,MDE,MAE,pearson,r2,balanced_acc,prec,recall,rocauc,prauc,kappa,MCC,f1
outerfold_1,0.09203545938385725,0.14113415710622645,0.20349078968360354,0.9148159001425915,0.83158123159105,0.5559397363929218,0.7724550898203593,0.12977867203219315,0.5559397363929218,0.37775862245372704,0.1436607368594951,0.23155243739665798,0.2222222222222222
outerfold_2,0.08678206060541818,0.0821336780963978,0.16277882993756776,0.9184753766316174,0.8411946018958107,0.550278590999601,0.7916666666666666,0.11468812877263582,0.550278590999601,0.3731175148420197,0.1301503829954791,0.22325571392175633,0.20035149384885764
outerfold_3,0.09937059104989601,0.1705764307214983,0.2253756416030196,0.9132173497127161,0.8181584285803181,0.5423582474593203,0.7285714285714285,0.10261569416498995,0.5423582474593203,0.36093546475239907,0.10979996671127679,0.19062626249557754,0.17989417989417988
outerfold_4,0.09641607068509932,0.14699193425734103,0.21141652660010615,0.9100121312411276,0.8235650043111227,0.5523314166676934,0.6767676767676768,0.13480885311871227,0.5523314166676934,0.3671405945125258,0.1329781085181707,0.19999126803918593,0.22483221476510068
outerfold_5,0.07712965082953392,0.0872488735379458,0.15915184519929126,0.9269476934298304,0.8588578697005899,0.5758337116433884,0.7215686274509804,0.1851106639839034,0.5758337116433884,0.39343530279034034,0.1890370690625136,0.25790252424203325,0.2946357085668535
mean,0.09034676651076093,0.1256170147438819,0.19244272660471767,0.9166936902315765,0.8346714272157782,0.555348340632585,0.7382058978554225,0.13340040241448692,0.555348340632585,0.3744774998702024,0.14112525282938707,0.2206656412190422,0.22438716385944274
std,0.007855148900127947,0.034876733797606564,0.026664100301997583,0.0058064319092210525,0.014374399957202907,0.011167335282839731,0.04043596846240201,0.02823791515951522,0.011167335282839731,0.01103839219817007,0.026344138219741794,0.02383950605762592,0.03872229882406561
